Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.01,
Sample Interval,8e-07,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH2,CH2 Peak Detect
-4.75560e-02,0.014,-0.006
-4.75552e-02,0.014,0.026
-4.75544e-02,0.01,-0.006
-4.75536e-02,0.01,0.026
-4.75528e-02,0.014,0.002
-4.75520e-02,0.006,0.026
-4.75512e-02,0.006,0.002
-4.75504e-02,0.018,0.022
-4.75496e-02,0.014,-0.006
-4.75488e-02,0.01,0.022
-4.75480e-02,0.014,-0.01
-4.75472e-02,0.01,0.034
-4.75464e-02,0.014,-0.002
-4.75456e-02,0.014,0.022
-4.75448e-02,0.022,-0.002
-4.75440e-02,0.014,0.022
-4.75432e-02,0.01,-0.002
-4.75424e-02,0.01,0.022
-4.75416e-02,0.01,-0.002
-4.75408e-02,0.014,0.026
-4.75400e-02,0.01,-0.006
-4.75392e-02,0.014,0.034
-4.75384e-02,0.01,-0.002
-4.75376e-02,0.006,0.022
-4.75368e-02,0.014,-0.002
-4.75360e-02,0.018,0.03
-4.75352e-02,0.014,-0.002
-4.75344e-02,0.006,0.026
-4.75336e-02,0.01,-0.002
-4.75328e-02,0.014,0.022
-4.75320e-02,0.014,-0.01
-4.75312e-02,0.01,0.034
-4.75304e-02,0.014,-0.002
-4.75296e-02,0.014,0.022
-4.75288e-02,0.014,0.002
-4.75280e-02,0.014,0.022
-4.75272e-02,0.01,-0.002
-4.75264e-02,0.01,0.026
-4.75256e-02,0.014,0.002
-4.75248e-02,0.01,0.026
-4.75240e-02,0.01,-0.006
-4.75232e-02,0.014,0.034
-4.75224e-02,0.014,-0.002
-4.75216e-02,0.01,0.026
-4.75208e-02,0.01,0.002
-4.75200e-02,0.01,0.022
-4.75192e-02,0.01,-0.002
-4.75184e-02,0.026,0.022
-4.75176e-02,0.01,0.002
-4.75168e-02,0.01,0.026
-4.75160e-02,0.018,-0.006
-4.75152e-02,0.018,0.034
-4.75144e-02,0.014,-0.002
-4.75136e-02,0.01,0.026
-4.75128e-02,0.006,-0.002
-4.75120e-02,0.014,0.022
-4.75112e-02,0.014,-0.002
-4.75104e-02,0.014,0.026
-4.75096e-02,0.006,0.002
-4.75088e-02,0.018,0.022
-4.75080e-02,0.014,-0.01
-4.75072e-02,0.01,0.03
-4.75064e-02,0.002,-0.006
-4.75056e-02,0.01,0.022
-4.75048e-02,0.01,0.002
-4.75040e-02,0.01,0.022
-4.75032e-02,0.01,-0.002
-4.75024e-02,0.01,0.022
-4.75016e-02,0.014,-0.002
-4.75008e-02,0.014,0.022
-4.75000e-02,0.014,-0.006
-4.74992e-02,0.01,0.034
-4.74984e-02,0.01,0.002
-4.74976e-02,0.018,0.026
-4.74968e-02,0.01,0.002
-4.74960e-02,0.014,0.026
-4.74952e-02,0.014,0.002
-4.74944e-02,0.014,0.026
-4.74936e-02,0.01,0.002
-4.74928e-02,0.014,0.026
-4.74920e-02,0.014,-0.006
-4.74912e-02,0.002,0.034
-4.74904e-02,0.014,-0.002
-4.74896e-02,0.01,0.022
-4.74888e-02,0.006,-0.002
-4.74880e-02,0.014,0.022
-4.74872e-02,0.01,-0.002
-4.74864e-02,0.014,0.026
-4.74856e-02,0.018,-0.002
-4.74848e-02,0.01,0.022
-4.74840e-02,0.006,-0.01
-4.74832e-02,0.01,0.026
-4.74824e-02,0.01,0.002
-4.74816e-02,0.018,0.026
-4.74808e-02,0.01,-0.002
-4.74800e-02,0.018,0.022
-4.74792e-02,0.01,0.002
-4.74784e-02,0.014,0.026
-4.74776e-02,0.026,0.002
-4.74768e-02,0.014,0.022
-4.74760e-02,0.022,-0.006
-4.74752e-02,0.014,0.03
-4.74744e-02,0.01,0.002
-4.74736e-02,0.01,0.026
-4.74728e-02,0.014,-0.002
-4.74720e-02,0.01,0.022
-4.74712e-02,0.014,-0.002
-4.74704e-02,0.01,0.022
-4.74696e-02,0.018,0.002
-4.74688e-02,0.01,0.022
-4.74680e-02,0.018,-0.01
-4.74672e-02,0.006,0.03
