Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH2,CH2 Peak Detect
1.548960e-03,0.06,0.06
1.549040e-03,0.02,0.02
1.549120e-03,0.06,0.06
1.549200e-03,0.06,0.02
1.549280e-03,0.06,0.06
1.549360e-03,0.02,0.02
1.549440e-03,0.06,0.06
1.549520e-03,0.06,0.02
1.549600e-03,0.06,0.06
1.549680e-03,0.02,0.02
1.549760e-03,0.06,0.06
1.549840e-03,0.06,0.02
1.549920e-03,0.06,0.1
1.550000e-03,0.06,0.02
1.550080e-03,0.06,0.06
1.550160e-03,0.06,0.02
1.550240e-03,0.02,0.1
1.550320e-03,0.02,0.02
1.550400e-03,0.06,0.06
1.550480e-03,0.02,0.02
1.550560e-03,0.06,0.06
1.550640e-03,0.06,0.02
1.550720e-03,0.06,0.06
1.550800e-03,0.06,0.02
1.550880e-03,0.06,0.06
1.550960e-03,0.06,0.02
1.551040e-03,0.06,0.1
1.551120e-03,0.06,0.02
1.551200e-03,0.02,0.06
1.551280e-03,0.02,0.02
1.551360e-03,0.02,0.06
1.551440e-03,0.02,0.02
1.551520e-03,0.06,0.06
1.551600e-03,0.06,0.02
1.551680e-03,0.06,0.1
1.551760e-03,0.02,0.02
1.551840e-03,0.06,0.06
1.551920e-03,0.06,0.02
1.552000e-03,0.06,0.1
1.552080e-03,0.06,0.02
1.552160e-03,0.02,0.06
1.552240e-03,0.06,0.02
1.552320e-03,0.06,0.06
1.552400e-03,0.06,0.02
1.552480e-03,0.02,0.06
1.552560e-03,0.06,0.02
1.552640e-03,0.02,0.06
1.552720e-03,0.02,0.02
1.552800e-03,0.06,0.06
1.552880e-03,0.06,0.02
1.552960e-03,0.06,0.06
1.553040e-03,0.02,0.02
1.553120e-03,0.06,0.1
1.553200e-03,0.06,0.02
1.553280e-03,0.06,0.06
1.553360e-03,0.02,0.02
1.553440e-03,0.06,0.06
1.553520e-03,0.06,0.02
1.553600e-03,0.06,0.06
1.553680e-03,0.06,0.02
1.553760e-03,0.06,0.06
1.553840e-03,0.06,0.02
1.553920e-03,0.06,0.06
1.554000e-03,0.06,0.02
1.554080e-03,0.06,0.06
1.554160e-03,0.06,0.02
1.554240e-03,0.02,0.06
1.554320e-03,0.02,0.02
1.554400e-03,0.06,0.06
1.554480e-03,0.02,0.02
1.554560e-03,0.06,0.06
1.554640e-03,0.06,0.02
1.554720e-03,0.02,0.1
1.554800e-03,0.06,0.02
1.554880e-03,0.02,0.1
1.554960e-03,0.06,0.02
1.555040e-03,0.06,0.06
1.555120e-03,0.06,0.02
1.555200e-03,0.02,0.06
1.555280e-03,0.02,0.02
1.555360e-03,0.02,0.06
1.555440e-03,0.02,0.02
1.555520e-03,0.02,0.06
1.555600e-03,0.06,0.02
1.555680e-03,0.06,0.06
1.555760e-03,0.06,0.02
1.555840e-03,0.06,0.06
1.555920e-03,0.02,0.02
1.556000e-03,0.06,0.06
1.556080e-03,0.06,0.02
1.556160e-03,0.02,0.06
1.556240e-03,0.02,0.02
1.556320e-03,0.06,0.1
1.556400e-03,0.02,0.02
1.556480e-03,0.02,0.06
1.556560e-03,0.02,0.02
1.556640e-03,0.06,0.06
1.556720e-03,0.06,0.02
1.556800e-03,0.06,0.1
1.556880e-03,0.06,0.02
1.556960e-03,0.06,0.06
1.557040e-03,0.06,0.02
1.557120e-03,0.06,0.06
1.557200e-03,0.02,0.02
1.557280e-03,0.06,0.06
1.557360e-03,0.06,0.02
1.557440e-03,0.02,0.06
1.557520e-03,0.06,0.02
1.557600e-03,0.06,0.06
1.557680e-03,0.06,0.02
1.557760e-03,0.02,0.06
1.557840e-03,0.06,0.02
1.557920e-03,0.06,0.06
1.558000e-03,0.06,0.02
1.558080e-03,0.02,0.06
1.558160e-03,0.06,0.02
1.558240e-03,0.06,0.06
1.558320e-03,0.06,0.02
1.558400e-03,0.02,0.06
1.558480e-03,0.02,0.02
1.558560e-03,0.06,0.06
1.558640e-03,0.06,0.02
1.558720e-03,0.06,0.06
1.558800e-03,0.06,0.02
1.558880e-03,0.02,0.06
1.558960e-03,0.06,0.02
1.559040e-03,0.06,0.06
1.559120e-03,0.06,0.02
1.559200e-03,0.06,0.06
1.559280e-03,0.06,0.02
1.559360e-03,0.02,0.06
1.559440e-03,0.06,0.02
1.559520e-03,0.06,0.06
1.559600e-03,0.06,0.02
1.559680e-03,0.06,0.1
1.559760e-03,0.06,0.02
1.559840e-03,0.02,0.1
1.559920e-03,0.06,0.02
1.560000e-03,0.06,0.06
1.560080e-03,0.02,0.02
1.560160e-03,0.06,0.06
1.560240e-03,0.06,0.02
1.560320e-03,0.02,0.06
1.560400e-03,0.06,0.02
1.560480e-03,0.06,0.06
1.560560e-03,0.06,0.02
1.560640e-03,0.06,0.06
1.560720e-03,0.06,0.02
1.560800e-03,0.06,0.06
